,text,aspect,label
0,一加8T颜值高，计额还是你轻薄，重量特别轻，男女通吃。屏幕显示绝对没得说，主打屏幕素质嘛，音效不错，拍照个人觉得还不错，运行速度特别的快，12G内存，865cpu，另外app打开速度个人感觉非常快，待机时间长，不过使用起来，屏幕比较耗电，但绝对是在可接受范围之内，系统简洁，方便操作，充电速度非常快！,音效,True
1,真我Q3这款手机质量很好，给老妈买的，老妈很喜欢！全5分支持！外观很好看，屏幕尺寸很大，声音很响亮，适合老人用，拍照效果很好，老妈说比以前手机运行速度快很多，待机时间也很长，一天充一次电，充电很快，40分钟就完成，系统很人性化，细节做的很好，颜值高，耳机孔满分，价格美丽，千元机性价比之王。,尺寸,True
2,红米K40真是全平台性价比最高的手机，没有之一！做工精致，颜色美观大方，手感很舒服。手机的配置非常高，处理器、内存、屏幕、摄像头等各个方面都做的非常好。运行很流畅，没有卡顿闪退和发热现象。电池容量大，续航能力强，充电速度很快，对于手机控来说每天充电一次也基本够用。京东客服也很给力，服务很好，值得推荐购买。,性价比,True
3,坚果R2锤子手机很好用，这是第二部了，内存选择12GB运行内存256GB存储内存的。手机外观很漂亮，物流速度很快。松绿色好看，手感很好！立体双扬声器，声音特别大，1.08亿像素，相机提升的非常大！骁龙865的处理器，配置特高，运行速度快的很，重度电商办公足够，游戏也是杠杠滴！待机时间特别长，一半的初始电，测试一下，整整用了多半天+一晚上，充电半个钟就基本上满了SOS系统，就不用吹了，忠实老用户，目前还没有对手，包括那些迷之自信的果X们，醒醒，该入手R2了！,处理器,True
4,华为P40，外观视觉效果很好，个人感觉摄像头太凸出来，有机身厚度四分之一，屏幕的显示效果很好，音效特别好，通话音质清晰，拍照效果特别清楚，运行速度杠杠的，很快待机时间还没试过。,厚度,True
5,vivoS9手机机身重量挺轻的，质感不错，颜色看起来很舒服，拿起来不大不小，运行流畅，拍照很靓，前置拍照照片质量挺高的。发货快，预售品也是第二天收到，这效率杠杠的，一直信赖京东，还可以开发票。用了段时间了，没出现什么问题，拍照很清晰，充电很快，屏幕很清晰，待机时间长。下单前考虑的是性价比，收到货后被炫彩的机身惊艳到了，中框设计手感很好，机身轻薄，屏幕画面流畅清晰，内存够大，拍照还自带美颜功能，肤色自然不浮夸，值得购买。,vivoS9,True
6,iPhone11买了之后一天不到就收到了，物流非常快。黑色很漂亮，机身材质是玻璃的，特别清透好看，外观显得非常高贵，手感很舒适，机身尺寸和厚度也刚合适，握着很方便。屏幕是视网膜的分辨率，很清晰。音响效果好。夜晚的夜拍模式是一个很大的进步，另外拍照加了超大广角，拍的照片超好看。运行速度很快，不是一般的快。是特别快。待机时间也长，很喜欢。,夜拍模式,True
7,对比了好多手机，真我Q3这款性价比比较高，高通骁龙750处理器，5000大电池，符合我的要求，屏幕分辨率高。很给力的一款手机！屏幕尺寸非常大，给老爸买的，买之前看了好久，最终这款手机超高的性价比吸引了我，处理器很快，打开系统就能纵享丝滑，拍照很惊艳，图片拍出来很好看，颜色艳丽，这么好的手机选的太值了，我们的国产手机品牌越来越优秀了，期待更多人购买使用这款手机!,系统,True
8,华为mate40设计很漂亮辨识度很高，双扬声器音质效果很好。拍照像素很清新，夜间效果也很不错，运行的速度特别的快，待机时间可以满足一天的需求，指纹解锁和指纹支付很方便便捷。手机真心不错，外观很漂亮，手感很好。运行速度比我以前的mate9块很多，充电确快，特别是拍照方面，夜拍模式很好用，对于我这种夜拍选手来说很实用，cpu特好处理照片解码很好。,cpu,True
9,华为nova8手机试用了两天，很好。8号色颜色很漂亮，喜欢。内存也很强，特别满意。5G网络速度特别快，手机颜值很高很有质感，手感也很舒服。正常使用时不会有什么热感，充电时会有点微微的发热。除了官方的配件，最有价值的就是碎屏险了。,5G,True
10,华为nova8价格优惠是正品，包装也给力，快递也很奈斯，出了点小插曲，客服态度很好。机身厚度很薄，重量很轻，拿在手里很轻巧，手感好，适合女生，外观很漂亮，屏幕显示很清晰，音效也不错，像素也很高，拍照清晰，新机子运行速度也快，反应迅速，运行流畅，待机时间还带考量，总体不错，性价比高，推荐。,显示,True
11,iPhone12，京东物流就是快，晚上十点半左右下单，第二天中午就收到手机了。外观造型非常漂亮，音效很棒，拍照比我用过的6s和8plus好太多了。运行速度快，刚买来待机时间暂时还看不出来，待后续使用效果追评。总之外观造型好看，我个人很喜欢。,外观,True
12,用了一段时间，小米11非常好用，系统非常的流畅。而且屏幕显示清晰。储存卡大，我要是8×256g，够用得了，拍照效果非常的好。播放的音质也可以。待机时间也可以。一天吧，用一天一充电，充电的速度非常快，省4%的电，充电时间45分钟，真够快的。赞！,系统,True
13,魅族18机身重量仅162g，6.2 英寸轻薄机身尺寸，骁龙 888 旗舰性能组合，2K+ / 120 帧柔性屏，屏幕高动态超流畅；4000mAh 超大容量电池；6400W 全场景防抖影像系统，品质摄影；Flyme 9 安全纯净系统，拒绝偷听，拒绝偷拍，拒绝跟踪；隐私保护四大法宝，守护权杖、全视鹰眼、隐形妙靴、私密斗篷。,摄影,True
